week_end,indicator,high_industry,value
29/12/2019,Number of Paid Jobs - 27 days,Total,2124990
05/01/2020,Number of Paid Jobs - 6 days,A Primary,77360
05/01/2020,Number of Paid Jobs - 6 days,B Goods Producing,342800
05/01/2020,Number of Paid Jobs - 6 days,C Services,1176840
05/01/2020,Number of Paid Jobs - 6 days,Total,1624390
05/01/2020,Number of Paid Jobs - 13 days,A Primary,99370
05/01/2020,Number of Paid Jobs - 13 days,B Goods Producing,385830
05/01/2020,Number of Paid Jobs - 13 days,C Services,1521840
05/01/2020,Number of Paid Jobs - 13 days,Total,2039630
05/01/2020,Number of Paid Jobs - 27 days,A Primary,104270
05/01/2020,Number of Paid Jobs - 27 days,B Goods Producing,394680
05/01/2020,Number of Paid Jobs - 27 days,C Services,1583990
05/01/2020,Number of Paid Jobs - 27 days,Total,2120980
12/01/2020,Number of Paid Jobs - 6 days,A Primary,77230
12/01/2020,Number of Paid Jobs - 6 days,B Goods Producing,334300
12/01/2020,Number of Paid Jobs - 6 days,C Services,1174660
12/01/2020,Number of Paid Jobs - 6 days,Total,1616540
12/01/2020,Number of Paid Jobs - 13 days,A Primary,100700
12/01/2020,Number of Paid Jobs - 13 days,B Goods Producing,389460
12/01/2020,Number of Paid Jobs - 13 days,C Services,1484940
12/01/2020,Number of Paid Jobs - 13 days,Total,2011840
